period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024,STX-NIN,IND,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_STX-NIN_MMCF,Texas Natural Gas International Deliveries to India (Million Cubic Feet),27602,MMCF
2024,SGA-NIN,IND,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NIN_MMCF,Georgia Natural Gas International Deliveries to India (Million Cubic Feet),9390,MMCF
2024,SLA-NIN,IND,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NIN_MMCF,Louisiana Natural Gas International Deliveries to India (Million Cubic Feet),157323,MMCF
2024,SMD-NIN,IND,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NIN_MMCF,Maryland Natural Gas International Deliveries to India (Million Cubic Feet),61730,MMCF
2024,STX-NJO,JOR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NJO_MMCF,Texas Natural Gas International Deliveries to Jordan (Million Cubic Feet),16848,MMCF
2024,SLA-NES,SLV,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NES_MMCF,Louisiana Natural Gas International Deliveries to El Salvador (Million Cubic Feet),1167,MMCF
2024,SAZ-Z00,USA-AZ,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SAZ_2,Arizona Natural Gas International Deliveries (MMcf),82851,MMCF
2024,SOH-Z00,OHIO,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SOH-Z00_MMCF,Ohio Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SPA-Z00,USA-PA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SPA-Z00_MMCF,Pennsylvania Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SIL-Z00,USA-IL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SIL-Z00_MMCF,Illinois Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SLA-Z00,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SLA-Z00_MMCF,Louisiana Natural Gas International Deliveries to All Countries (Million Cubic Feet),2671615,MMCF
2024,SLA-NDR,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NDR_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),57485,MMCF
2024,SLA-NEG,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NEG_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),82289,MMCF
2024,SLA-NIT,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NIT_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),113794,MMCF
2024,SLA-NJO,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NJO_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),25721,MMCF
2024,SLA-NKU,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NKU_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),30802,MMCF
2024,SLA-NMX,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NMX_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),11031,MMCF
2024,SLA-NTC,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NTC_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),3064,MMCF
2024,SLA-NTU,USA-LA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NTU_MMCF,Louisiana Exports + Intransit of Natural Gas (Million Cubic Feet),122248,MMCF
2024,SRI-Z00,USA-RI,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SRI-Z00_MMCF,Rhode Island Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SNH-Z00,USA-NH,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SNH-Z00_MMCF,New Hampshire Natural Gas International Deliveries (Million Cubic Feet),63,MMCF
2024,SFL-NJM,JAM,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SFL-NJM_MMCF,Florida Natural Gas International Deliveries to Jamaica (Million Cubic Feet),16,MMCF
2024,SGA-NJM,JAM,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NJM_MMCF,Georgia Natural Gas International Deliveries to Jamaica (Million Cubic Feet),358,MMCF
2024,SLA-NJM,JAM,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NJNGM_MMCF,Louisiana Natural Gas International Deliveries to Jamaica (Million Cubic Feet),7986,MMCF
2024,STX-NJM,JAM,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NJM_MMCF,Texas Natural Gas International Deliveries to Jamaica (Million Cubic Feet),4840,MMCF
